report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,crime_occurred,age_group
6496,2020-09-29,2020-09-27,09:38:00,Bhopal,300,ASSAULT,23,F,Other,Violent Crime,14,Yes,24-12-2020,Morning,Adult
6497,2020-09-29,2020-09-27,12:17:00,Chennai,488,COUNTERFEITING,27,F,Firearm,Other Crime,5,Yes,13-10-2020,Afternoon,Adult
6498,2020-09-28,2020-09-27,06:56:00,Mumbai,393,PUBLIC INTOXICATION,68,M,Blunt Object,Other Crime,4,Yes,21-10-2020,Morning,Senior-Citizen
6499,2020-09-30,2020-09-27,19:11:00,Chennai,347,EXTORTION,16,F,Poison,Other Crime,12,Yes,07-11-2020,Evening,Teenager
6500,2020-09-28,2020-09-27,13:33:00,Delhi,170,CYBERCRIME,12,F,Explosives,Other Crime,6,No,Null,Afternoon,Child
6501,2020-09-30,2020-09-27,08:46:00,Ahmedabad,456,DOMESTIC VIOLENCE,76,F,Explosives,Violent Crime,3,No,Null,Morning,Senior-Citizen
6502,2020-09-28,2020-09-27,01:25:00,Delhi,577,ASSAULT,26,F,Firearm,Violent Crime,8,Yes,01-12-2020,Night,Adult
6503,2020-09-29,2020-09-27,17:08:00,Surat,412,BURGLARY,50,M,Poison,Other Crime,1,No,Null,Evening,Adult
6504,2020-09-30,2020-09-27,04:39:00,Mumbai,223,FRAUD,38,F,Other,Other Crime,13,No,Null,Night,Adult
6505,2020-09-30,2020-09-28,09:18:00,Ahmedabad,458,DOMESTIC VIOLENCE,34,F,Blunt Object,Violent Crime,8,No,Null,Morning,Adult
6506,2020-09-28,2020-09-28,19:16:00,Hyderabad,290,DOMESTIC VIOLENCE,63,F,Knife,Violent Crime,7,No,Null,Evening,Senior-Citizen
6507,2020-09-30,2020-09-28,17:04:00,Ghaziabad,581,CYBERCRIME,51,F,Other,Other Crime,4,No,Null,Evening,Adult
6508,2020-09-30,2020-09-28,10:54:00,Delhi,311,DRUG OFFENSE,37,F,Blunt Object,Other Crime,6,No,Null,Morning,Adult
6509,2020-09-29,2020-09-28,11:57:00,Delhi,552,ROBBERY,61,F,Explosives,Violent Crime,16,No,Null,Morning,Senior-Citizen
6510,2020-09-29,2020-09-28,06:06:00,Patna,597,VANDALISM,37,M,Knife,Other Crime,16,No,Null,Morning,Adult
6511,2020-09-30,2020-09-28,08:52:00,Mumbai,423,ILLEGAL POSSESSION,61,M,Firearm,Other Crime,5,Yes,13-10-2020,Morning,Senior-Citizen
6512,2020-09-29,2020-09-28,00:07:00,Thane,287,ROBBERY,55,F,Knife,Violent Crime,19,Yes,02-03-2021,Night,Adult
6513,2020-09-30,2020-09-28,01:16:00,Bangalore,405,FIREARM OFFENSE,15,F,Blunt Object,Fire Accident,11,No,Null,Night,Teenager
6514,2020-10-01,2020-09-28,16:56:00,Mumbai,591,FIREARM OFFENSE,56,F,Poison,Fire Accident,19,No,Null,Afternoon,Adult
6515,2020-09-29,2020-09-28,11:06:00,Bangalore,576,CYBERCRIME,67,F,Firearm,Other Crime,16,No,Null,Morning,Senior-Citizen
6516,2020-10-01,2020-09-28,18:28:00,Hyderabad,453,VANDALISM,65,M,Knife,Other Crime,13,No,Null,Evening,Senior-Citizen
6517,2020-09-30,2020-09-28,13:08:00,Vasai,359,TRAFFIC VIOLATION,25,F,Other,Traffic Fatality,12,No,Null,Afternoon,Adult
6518,2020-09-30,2020-09-28,02:31:00,Jaipur,360,FRAUD,29,M,Poison,Other Crime,19,Yes,30-10-2020,Night,Adult
6519,2020-10-01,2020-09-28,18:06:00,Mumbai,379,DRUG OFFENSE,52,M,Explosives,Other Crime,6,No,Null,Evening,Adult
6520,2020-09-29,2020-09-28,03:12:00,Bangalore,162,KIDNAPPING,42,M,Blunt Object,Other Crime,11,No,Null,Night,Adult
6521,2020-09-29,2020-09-28,19:16:00,Kanpur,261,VEHICLE - STOLEN,22,M,Unknown,Violent Crime,8,Yes,02-12-2020,Evening,Adult
6522,2020-10-01,2020-09-28,14:42:00,Pune,183,IDENTITY THEFT,38,F,Explosives,Violent Crime,18,No,Null,Afternoon,Adult
6523,2020-09-29,2020-09-28,06:47:00,Jaipur,226,HOMICIDE,53,F,Unknown,Other Crime,14,Yes,04-03-2022,Morning,Adult
6524,2020-10-01,2020-09-28,15:35:00,Bhopal,359,TRAFFIC VIOLATION,62,M,Other,Traffic Fatality,11,Yes,20-10-2020,Afternoon,Senior-Citizen
6525,2020-10-01,2020-09-28,00:52:00,Chennai,466,FRAUD,20,F,Explosives,Other Crime,12,Yes,04-11-2020,Night,Adult
6526,2020-10-01,2020-09-28,19:58:00,Kolkata,113,ILLEGAL POSSESSION,13,F,Blunt Object,Other Crime,10,Yes,01-12-2020,Evening,Teenager
6527,2020-09-29,2020-09-28,16:30:00,Delhi,535,EXTORTION,59,F,Poison,Other Crime,16,Yes,23-11-2020,Afternoon,Adult
6528,2020-10-01,2020-09-28,16:57:00,Chennai,310,ILLEGAL POSSESSION,36,M,Explosives,Other Crime,17,No,Null,Afternoon,Adult
6529,2020-10-01,2020-09-29,15:22:00,Mumbai,395,DOMESTIC VIOLENCE,35,F,Other,Violent Crime,10,Yes,26-10-2020,Afternoon,Adult
6530,2020-09-30,2020-09-29,18:46:00,Ludhiana,574,VANDALISM,35,F,Poison,Other Crime,10,No,Null,Evening,Adult
6531,2020-09-30,2020-09-29,01:39:00,Surat,384,ASSAULT,53,F,Explosives,Violent Crime,19,Yes,10-10-2020,Night,Adult
6532,2020-09-30,2020-09-29,09:55:00,Srinagar,445,VEHICLE - STOLEN,78,F,Knife,Violent Crime,18,No,Null,Morning,Senior-Citizen
6533,2020-09-29,2020-09-29,12:17:00,Pune,376,IDENTITY THEFT,73,F,Knife,Violent Crime,9,No,Null,Afternoon,Senior-Citizen
6534,2020-09-29,2020-09-29,13:03:00,Mumbai,204,COUNTERFEITING,48,F,Firearm,Other Crime,9,No,Null,Afternoon,Adult
6535,2020-09-30,2020-09-29,00:49:00,Kolkata,525,ILLEGAL POSSESSION,14,F,Unknown,Other Crime,2,No,Null,Night,Teenager
6536,2020-09-30,2020-09-29,21:19:00,Delhi,421,VEHICLE - STOLEN,41,F,Blunt Object,Violent Crime,3,No,Null,Night,Adult
6537,2020-10-01,2020-09-29,15:30:00,Pune,401,FRAUD,32,F,Firearm,Other Crime,7,Yes,04-12-2020,Afternoon,Adult
6538,2020-10-01,2020-09-29,18:18:00,Bangalore,255,DRUG OFFENSE,30,M,Knife,Other Crime,3,Yes,09-12-2020,Evening,Adult
6539,2020-09-30,2020-09-29,04:36:00,Delhi,547,FIREARM OFFENSE,15,F,Explosives,Fire Accident,13,Yes,14-12-2020,Night,Teenager
6540,2020-10-01,2020-09-29,00:47:00,Bangalore,112,ILLEGAL POSSESSION,31,F,Blunt Object,Other Crime,17,Yes,08-12-2020,Night,Adult
6541,2020-09-30,2020-09-29,21:14:00,Hyderabad,258,TRAFFIC VIOLATION,23,M,Unknown,Traffic Fatality,3,Yes,18-10-2020,Night,Adult
6542,2020-09-29,2020-09-29,08:03:00,Hyderabad,250,PUBLIC INTOXICATION,22,F,Other,Other Crime,10,No,Null,Morning,Adult
6543,2020-10-01,2020-09-29,03:54:00,Mumbai,166,HOMICIDE,74,F,Knife,Other Crime,10,No,Null,Night,Senior-Citizen
6544,2020-10-02,2020-09-29,13:56:00,Varanasi,205,ILLEGAL POSSESSION,75,F,Poison,Other Crime,4,No,Null,Afternoon,Senior-Citizen
6545,2020-09-30,2020-09-29,12:30:00,Indore,486,FIREARM OFFENSE,25,F,Firearm,Fire Accident,12,Yes,09-11-2020,Afternoon,Adult
6546,2020-09-30,2020-09-29,13:20:00,Nagpur,303,ROBBERY,33,M,Firearm,Violent Crime,4,No,Null,Afternoon,Adult
6547,2020-10-02,2020-09-29,03:23:00,Lucknow,131,DOMESTIC VIOLENCE,68,F,Blunt Object,Violent Crime,14,Yes,03-12-2020,Night,Senior-Citizen
6548,2020-10-01,2020-09-29,20:45:00,Thane,303,DOMESTIC VIOLENCE,33,F,Explosives,Violent Crime,2,No,Null,Evening,Adult
6549,2020-10-01,2020-09-29,01:38:00,Surat,299,DRUG OFFENSE,60,M,Firearm,Other Crime,16,No,Null,Night,Senior-Citizen
6550,2020-09-30,2020-09-29,19:38:00,Bangalore,496,SHOPLIFTING,12,F,Other,Other Crime,13,Yes,29-10-2020,Evening,Child
6551,2020-10-01,2020-09-29,00:41:00,Patna,363,ASSAULT,74,M,Poison,Violent Crime,12,Yes,19-10-2020,Night,Senior-Citizen
6552,2020-10-01,2020-09-29,20:29:00,Bangalore,282,COUNTERFEITING,77,F,Blunt Object,Other Crime,6,Yes,09-11-2020,Evening,Senior-Citizen
6553,2020-10-01,2020-09-30,04:21:00,Bangalore,253,TRAFFIC VIOLATION,63,F,Firearm,Traffic Fatality,11,No,Null,Night,Senior-Citizen
6554,2020-10-02,2020-09-30,03:33:00,Chennai,503,DRUG OFFENSE,76,M,Unknown,Other Crime,1,No,Null,Night,Senior-Citizen
6555,2020-10-02,2020-09-30,05:53:00,Varanasi,220,HOMICIDE,21,M,Knife,Other Crime,13,No,Null,Morning,Adult
6556,2020-09-30,2020-09-30,03:35:00,Rajkot,423,CYBERCRIME,63,F,Knife,Other Crime,8,No,Null,Night,Senior-Citizen
6557,2020-10-01,2020-09-30,12:07:00,Bangalore,178,CYBERCRIME,42,F,Knife,Other Crime,17,Yes,20-11-2020,Afternoon,Adult
6558,2020-10-01,2020-09-30,18:07:00,Ahmedabad,455,SEXUAL ASSAULT,14,F,Explosives,Violent Crime,12,Yes,04-08-2022,Evening,Teenager
6559,2020-09-30,2020-09-30,14:12:00,Delhi,350,PUBLIC INTOXICATION,68,M,Poison,Other Crime,19,Yes,16-10-2020,Afternoon,Senior-Citizen
6560,2020-10-03,2020-09-30,15:42:00,Lucknow,223,SHOPLIFTING,40,F,Blunt Object,Other Crime,5,No,Null,Afternoon,Adult
6561,2020-10-01,2020-09-30,08:58:00,Delhi,160,SEXUAL ASSAULT,36,F,Unknown,Violent Crime,14,Yes,24-05-2022,Morning,Adult
6562,2020-10-02,2020-09-30,07:57:00,Bhopal,552,FRAUD,44,F,Knife,Other Crime,4,No,Null,Morning,Adult
6563,2020-10-01,2020-09-30,14:32:00,Vasai,222,PUBLIC INTOXICATION,41,F,Other,Other Crime,18,Yes,08-10-2020,Afternoon,Adult
6564,2020-10-01,2020-09-30,10:10:00,Kalyan,133,ROBBERY,48,F,Explosives,Violent Crime,3,Yes,04-11-2020,Morning,Adult
6565,2020-10-03,2020-09-30,03:20:00,Surat,386,DOMESTIC VIOLENCE,68,F,Poison,Violent Crime,19,Yes,17-10-2020,Night,Senior-Citizen
6566,2020-10-01,2020-09-30,11:31:00,Varanasi,165,ROBBERY,42,F,Unknown,Violent Crime,10,Yes,17-01-2021,Morning,Adult
6567,2020-10-03,2020-09-30,03:08:00,Visakhapatnam,161,SEXUAL ASSAULT,66,F,Blunt Object,Violent Crime,8,Yes,02-10-2021,Night,Senior-Citizen
6568,2020-10-01,2020-09-30,13:05:00,Kolkata,296,TRAFFIC VIOLATION,52,F,Blunt Object,Traffic Fatality,1,Yes,17-10-2020,Afternoon,Adult
6569,2020-10-03,2020-09-30,23:10:00,Delhi,342,ILLEGAL POSSESSION,11,F,Knife,Other Crime,2,No,Null,Night,Child
6570,2020-10-02,2020-09-30,09:09:00,Ahmedabad,150,DRUG OFFENSE,36,F,Explosives,Other Crime,17,Yes,02-12-2020,Morning,Adult
6571,2020-10-03,2020-09-30,09:54:00,Pune,372,HOMICIDE,43,M,Explosives,Other Crime,10,No,Null,Morning,Adult
6572,2020-10-02,2020-09-30,09:26:00,Agra,548,KIDNAPPING,17,F,Knife,Other Crime,10,Yes,15-12-2020,Morning,Teenager
6573,2020-10-01,2020-09-30,01:51:00,Chennai,175,HOMICIDE,79,F,Knife,Other Crime,17,No,Null,Night,Senior-Citizen
6574,2020-10-03,2020-09-30,23:04:00,Mumbai,570,DRUG OFFENSE,74,F,Poison,Other Crime,18,No,Null,Night,Senior-Citizen
6575,2020-10-01,2020-09-30,17:52:00,Delhi,509,ARSON,46,F,Other,Fire Accident,4,Yes,29-12-2020,Evening,Adult
6576,2020-10-03,2020-09-30,04:20:00,Hyderabad,550,DRUG OFFENSE,63,F,Explosives,Other Crime,15,Yes,11-11-2020,Night,Senior-Citizen
6577,2020-10-02,2020-10-01,05:53:00,Hyderabad,235,SEXUAL ASSAULT,12,M,Firearm,Violent Crime,12,No,Null,Morning,Child
6578,2020-10-02,2020-10-01,20:53:00,Kolkata,211,ROBBERY,46,M,Knife,Violent Crime,18,No,Null,Evening,Adult
6579,2020-10-03,2020-10-01,12:35:00,Kolkata,294,SEXUAL ASSAULT,36,F,Knife,Violent Crime,19,Yes,26-06-2022,Afternoon,Adult
6580,2020-10-02,2020-10-01,11:14:00,Delhi,239,DRUG OFFENSE,35,M,Other,Other Crime,6,Yes,17-12-2020,Morning,Adult
6581,2020-10-02,2020-10-01,17:19:00,Delhi,445,ILLEGAL POSSESSION,18,M,Knife,Other Crime,9,Yes,24-12-2020,Evening,Teenager
6582,2020-10-01,2020-10-01,23:31:00,Jaipur,325,ROBBERY,25,F,Knife,Violent Crime,9,No,Null,Night,Adult
6583,2020-10-03,2020-10-01,01:25:00,Mumbai,174,KIDNAPPING,10,F,Firearm,Other Crime,6,No,Null,Night,Child
6584,2020-10-02,2020-10-01,23:08:00,Pune,307,DRUG OFFENSE,32,F,Explosives,Other Crime,9,No,Null,Night,Adult
6585,2020-10-02,2020-10-01,23:59:00,Kanpur,568,ARSON,57,F,Poison,Fire Accident,14,No,Null,Night,Adult
6586,2020-10-04,2020-10-01,03:17:00,Kolkata,363,EXTORTION,61,F,Unknown,Other Crime,8,No,Null,Night,Senior-Citizen
6587,2020-10-03,2020-10-01,22:15:00,Chennai,492,COUNTERFEITING,26,M,Knife,Other Crime,17,Yes,31-12-2020,Night,Adult
6588,2020-10-02,2020-10-01,13:29:00,Surat,196,FIREARM OFFENSE,27,M,Unknown,Fire Accident,13,Yes,04-11-2020,Afternoon,Adult
6589,2020-10-01,2020-10-01,16:53:00,Ahmedabad,463,SHOPLIFTING,17,F,Firearm,Other Crime,3,No,Null,Afternoon,Teenager
6590,2020-10-02,2020-10-01,15:20:00,Lucknow,334,ARSON,38,F,Unknown,Fire Accident,7,No,Null,Afternoon,Adult
6591,2020-10-04,2020-10-01,06:17:00,Delhi,361,HOMICIDE,42,F,Poison,Other Crime,5,Yes,28-04-2022,Morning,Adult
6592,2020-10-04,2020-10-01,06:29:00,Agra,230,IDENTITY THEFT,50,F,Unknown,Violent Crime,10,No,Null,Morning,Adult
6593,2020-10-03,2020-10-01,17:22:00,Nashik,599,IDENTITY THEFT,36,F,Unknown,Violent Crime,15,Yes,17-12-2020,Evening,Adult
6594,2020-10-01,2020-10-01,07:53:00,Mumbai,545,DRUG OFFENSE,72,M,Unknown,Other Crime,5,No,Null,Morning,Senior-Citizen
6595,2020-10-02,2020-10-01,03:46:00,Hyderabad,573,IDENTITY THEFT,66,M,Poison,Violent Crime,17,No,Null,Night,Senior-Citizen
6596,2020-10-03,2020-10-01,02:23:00,Visakhapatnam,270,FRAUD,47,F,Other,Other Crime,3,No,Null,Night,Adult
6597,2020-10-03,2020-10-01,20:26:00,Hyderabad,186,PUBLIC INTOXICATION,77,F,Firearm,Other Crime,12,No,Null,Evening,Senior-Citizen
6598,2020-10-04,2020-10-01,21:32:00,Ghaziabad,434,VANDALISM,59,F,Explosives,Other Crime,17,No,Null,Night,Adult
6599,2020-10-03,2020-10-01,06:52:00,Jaipur,348,FIREARM OFFENSE,67,M,Firearm,Fire Accident,13,No,Null,Morning,Senior-Citizen
6600,2020-10-03,2020-10-01,06:27:00,Hyderabad,133,KIDNAPPING,61,F,Unknown,Other Crime,19,Yes,13-11-2020,Morning,Senior-Citizen
6601,2020-10-04,2020-10-02,07:42:00,Lucknow,490,VEHICLE - STOLEN,57,F,Knife,Violent Crime,1,No,Null,Morning,Adult
6602,2020-10-04,2020-10-02,13:08:00,Ghaziabad,118,VEHICLE - STOLEN,65,F,Explosives,Violent Crime,14,Yes,16-12-2020,Afternoon,Senior-Citizen
6603,2020-10-03,2020-10-02,14:31:00,Patna,587,ILLEGAL POSSESSION,59,M,Poison,Other Crime,4,No,Null,Afternoon,Adult
6604,2020-10-03,2020-10-02,19:32:00,Patna,265,BURGLARY,44,F,Blunt Object,Other Crime,14,Yes,18-12-2020,Evening,Adult
6605,2020-10-02,2020-10-02,17:47:00,Mumbai,105,ROBBERY,45,F,Unknown,Violent Crime,9,No,Null,Evening,Adult
6606,2020-10-04,2020-10-02,03:36:00,Bangalore,259,VANDALISM,34,F,Explosives,Other Crime,17,No,Null,Night,Adult
6607,2020-10-04,2020-10-02,04:16:00,Mumbai,510,ILLEGAL POSSESSION,74,M,Knife,Other Crime,4,Yes,30-10-2020,Night,Senior-Citizen
6608,2020-10-04,2020-10-02,22:45:00,Jaipur,435,VANDALISM,17,F,Firearm,Other Crime,15,Yes,14-11-2020,Night,Teenager
6609,2020-10-03,2020-10-02,13:33:00,Delhi,331,ROBBERY,62,M,Firearm,Violent Crime,9,No,Null,Afternoon,Senior-Citizen
6610,2020-10-02,2020-10-02,16:19:00,Pune,297,TRAFFIC VIOLATION,45,F,Poison,Traffic Fatality,3,No,Null,Afternoon,Adult
6611,2020-10-04,2020-10-02,02:37:00,Ghaziabad,148,IDENTITY THEFT,31,F,Poison,Violent Crime,17,No,Null,Night,Adult
6612,2020-10-03,2020-10-02,22:38:00,Hyderabad,132,HOMICIDE,70,F,Blunt Object,Other Crime,10,Yes,28-06-2021,Night,Senior-Citizen
6613,2020-10-04,2020-10-02,01:54:00,Thane,492,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,2,No,Null,Night,Adult
6614,2020-10-04,2020-10-02,17:51:00,Mumbai,451,CYBERCRIME,30,F,Poison,Other Crime,1,Yes,04-11-2020,Evening,Adult
6615,2020-10-04,2020-10-02,13:12:00,Pune,265,BURGLARY,16,F,Unknown,Other Crime,12,Yes,16-02-2021,Afternoon,Teenager
6616,2020-10-04,2020-10-02,06:22:00,Kolkata,445,PUBLIC INTOXICATION,25,M,Poison,Other Crime,2,Yes,25-10-2020,Morning,Adult
6617,2020-10-02,2020-10-02,02:53:00,Surat,403,HOMICIDE,40,F,Unknown,Other Crime,10,Yes,27-05-2022,Night,Adult
6618,2020-10-05,2020-10-02,17:43:00,Visakhapatnam,480,ILLEGAL POSSESSION,44,M,Knife,Other Crime,4,Yes,16-11-2020,Evening,Adult
6619,2020-10-05,2020-10-02,03:23:00,Kalyan,200,DRUG OFFENSE,25,M,Blunt Object,Other Crime,15,No,Null,Night,Adult
6620,2020-10-03,2020-10-02,01:49:00,Mumbai,221,PUBLIC INTOXICATION,50,F,Poison,Other Crime,19,No,Null,Night,Adult
6621,2020-10-04,2020-10-02,05:15:00,Patna,132,FRAUD,24,F,Firearm,Other Crime,16,No,Null,Morning,Adult
6622,2020-10-03,2020-10-02,12:34:00,Mumbai,315,DRUG OFFENSE,25,F,Knife,Other Crime,5,No,Null,Afternoon,Adult
6623,2020-10-05,2020-10-02,18:40:00,Faridabad,485,ROBBERY,29,M,Firearm,Violent Crime,14,Yes,19-11-2020,Evening,Adult
6624,2020-10-03,2020-10-02,21:16:00,Kolkata,519,DRUG OFFENSE,78,F,Other,Other Crime,18,No,Null,Night,Senior-Citizen
6625,2020-10-05,2020-10-03,04:22:00,Delhi,424,VANDALISM,59,F,Explosives,Other Crime,15,Yes,02-12-2020,Night,Adult
6626,2020-10-05,2020-10-03,22:31:00,Ahmedabad,540,PUBLIC INTOXICATION,16,F,Blunt Object,Other Crime,8,Yes,09-10-2020,Night,Teenager
6627,2020-10-05,2020-10-03,18:21:00,Kanpur,171,DRUG OFFENSE,62,M,Poison,Other Crime,13,Yes,21-11-2020,Evening,Senior-Citizen
6628,2020-10-05,2020-10-03,21:58:00,Delhi,135,HOMICIDE,39,F,Other,Other Crime,4,No,Null,Night,Adult
6629,2020-10-05,2020-10-03,07:31:00,Bangalore,530,DOMESTIC VIOLENCE,37,F,Knife,Violent Crime,9,Yes,19-12-2020,Morning,Adult
6630,2020-10-04,2020-10-03,06:53:00,Ahmedabad,450,ASSAULT,54,F,Unknown,Violent Crime,18,Yes,20-12-2020,Morning,Adult
6631,2020-10-04,2020-10-03,07:12:00,Mumbai,250,DRUG OFFENSE,74,M,Knife,Other Crime,17,No,Null,Morning,Senior-Citizen
6632,2020-10-03,2020-10-03,01:52:00,Agra,480,IDENTITY THEFT,25,F,Explosives,Violent Crime,17,No,Null,Night,Adult
6633,2020-10-03,2020-10-03,23:45:00,Hyderabad,272,ARSON,72,F,Unknown,Fire Accident,2,Yes,22-10-2020,Night,Senior-Citizen
6634,2020-10-03,2020-10-03,18:11:00,Delhi,278,VANDALISM,24,M,Knife,Other Crime,1,No,Null,Evening,Adult
6635,2020-10-05,2020-10-03,14:01:00,Nashik,487,KIDNAPPING,69,M,Firearm,Other Crime,2,Yes,14-11-2020,Afternoon,Senior-Citizen
6636,2020-10-03,2020-10-03,01:48:00,Kanpur,227,IDENTITY THEFT,48,F,Other,Violent Crime,10,No,Null,Night,Adult
6637,2020-10-04,2020-10-03,01:36:00,Delhi,194,VEHICLE - STOLEN,39,M,Explosives,Violent Crime,12,No,Null,Night,Adult
6638,2020-10-06,2020-10-03,01:27:00,Delhi,367,SEXUAL ASSAULT,37,F,Unknown,Violent Crime,13,No,Null,Night,Adult
6639,2020-10-05,2020-10-03,00:01:00,Bangalore,501,COUNTERFEITING,46,F,Poison,Other Crime,16,Yes,30-11-2020,Night,Adult
6640,2020-10-06,2020-10-03,12:27:00,Mumbai,173,VANDALISM,70,F,Poison,Other Crime,18,Yes,28-10-2020,Afternoon,Senior-Citizen
6641,2020-10-05,2020-10-03,16:09:00,Chennai,561,FIREARM OFFENSE,70,M,Blunt Object,Fire Accident,3,No,Null,Afternoon,Senior-Citizen
6642,2020-10-03,2020-10-03,01:50:00,Ludhiana,497,ROBBERY,20,F,Firearm,Violent Crime,12,No,Null,Night,Adult
6643,2020-10-06,2020-10-03,05:08:00,Chennai,463,ILLEGAL POSSESSION,52,F,Blunt Object,Other Crime,5,No,Null,Morning,Adult
6644,2020-10-04,2020-10-03,05:33:00,Delhi,360,TRAFFIC VIOLATION,62,F,Explosives,Traffic Fatality,13,Yes,15-10-2020,Morning,Senior-Citizen
6645,2020-10-05,2020-10-03,11:28:00,Thane,244,EXTORTION,43,F,Unknown,Other Crime,14,Yes,16-10-2020,Morning,Adult
6646,2020-10-06,2020-10-03,09:55:00,Nagpur,247,DRUG OFFENSE,70,F,Poison,Other Crime,3,No,Null,Morning,Senior-Citizen
6647,2020-10-05,2020-10-03,21:25:00,Bangalore,398,ROBBERY,14,F,Poison,Violent Crime,1,Yes,12-01-2021,Night,Teenager
6648,2020-10-05,2020-10-03,21:39:00,Delhi,219,DRUG OFFENSE,47,M,Firearm,Other Crime,16,Yes,23-11-2020,Night,Adult
6649,2020-10-05,2020-10-04,20:32:00,Bangalore,494,BURGLARY,50,M,Explosives,Other Crime,12,No,Null,Evening,Adult
6650,2020-10-04,2020-10-04,18:46:00,Hyderabad,390,SEXUAL ASSAULT,15,F,Poison,Violent Crime,12,Yes,10-07-2021,Evening,Teenager
6651,2020-10-05,2020-10-04,09:41:00,Pune,415,SHOPLIFTING,23,M,Explosives,Other Crime,11,No,Null,Morning,Adult
6652,2020-10-05,2020-10-04,02:04:00,Mumbai,340,ARSON,79,F,Other,Fire Accident,18,Yes,06-11-2020,Night,Senior-Citizen
6653,2020-10-06,2020-10-04,04:27:00,Mumbai,491,CYBERCRIME,61,F,Explosives,Other Crime,12,Yes,16-11-2020,Night,Senior-Citizen
6654,2020-10-07,2020-10-04,19:45:00,Hyderabad,332,ASSAULT,61,F,Poison,Violent Crime,8,No,Null,Evening,Senior-Citizen
6655,2020-10-06,2020-10-04,15:29:00,Visakhapatnam,192,VEHICLE - STOLEN,78,M,Other,Violent Crime,11,No,Null,Afternoon,Senior-Citizen
6656,2020-10-06,2020-10-04,21:53:00,Jaipur,168,FIREARM OFFENSE,58,F,Other,Fire Accident,4,Yes,13-12-2020,Night,Adult
6657,2020-10-06,2020-10-04,18:13:00,Jaipur,198,ILLEGAL POSSESSION,75,M,Blunt Object,Other Crime,3,No,Null,Evening,Senior-Citizen
6658,2020-10-06,2020-10-04,11:53:00,Lucknow,255,FRAUD,68,M,Unknown,Other Crime,8,No,Null,Morning,Senior-Citizen
6659,2020-10-05,2020-10-04,15:46:00,Nashik,244,COUNTERFEITING,76,M,Blunt Object,Other Crime,17,Yes,26-12-2020,Afternoon,Senior-Citizen
6660,2020-10-05,2020-10-04,12:34:00,Kanpur,529,EXTORTION,49,M,Unknown,Other Crime,16,No,Null,Afternoon,Adult
6661,2020-10-05,2020-10-04,22:58:00,Bangalore,311,DRUG OFFENSE,20,M,Explosives,Other Crime,18,Yes,21-10-2020,Night,Adult
6662,2020-10-07,2020-10-04,11:47:00,Hyderabad,158,SHOPLIFTING,63,F,Explosives,Other Crime,9,Yes,08-12-2020,Morning,Senior-Citizen
6663,2020-10-07,2020-10-04,14:35:00,Bangalore,460,FIREARM OFFENSE,49,F,Explosives,Fire Accident,2,Yes,07-12-2020,Afternoon,Adult
6664,2020-10-07,2020-10-04,19:13:00,Thane,286,FRAUD,47,M,Knife,Other Crime,14,No,Null,Evening,Adult
6665,2020-10-07,2020-10-04,12:35:00,Mumbai,213,FRAUD,33,F,Firearm,Other Crime,13,No,Null,Afternoon,Adult
6666,2020-10-07,2020-10-04,22:50:00,Chennai,506,BURGLARY,44,F,Knife,Other Crime,10,Yes,19-02-2021,Night,Adult
6667,2020-10-06,2020-10-04,04:39:00,Mumbai,386,BURGLARY,73,F,Knife,Other Crime,18,No,Null,Night,Senior-Citizen
6668,2020-10-07,2020-10-04,16:11:00,Meerut,591,BURGLARY,32,M,Blunt Object,Other Crime,13,No,Null,Afternoon,Adult
6669,2020-10-05,2020-10-04,15:08:00,Bangalore,319,ASSAULT,28,F,Blunt Object,Violent Crime,14,No,Null,Afternoon,Adult
6670,2020-10-05,2020-10-04,14:24:00,Bangalore,366,PUBLIC INTOXICATION,10,F,Blunt Object,Other Crime,14,No,Null,Afternoon,Child
6671,2020-10-07,2020-10-04,08:13:00,Patna,275,PUBLIC INTOXICATION,54,F,Firearm,Other Crime,9,Yes,19-10-2020,Morning,Adult
6672,2020-10-06,2020-10-04,00:27:00,Delhi,142,ARSON,32,M,Unknown,Fire Accident,1,Yes,31-12-2020,Night,Adult
6673,2020-10-07,2020-10-05,16:30:00,Bangalore,293,ROBBERY,22,F,Firearm,Violent Crime,15,Yes,17-03-2021,Afternoon,Adult
6674,2020-10-05,2020-10-05,08:59:00,Surat,523,VANDALISM,25,M,Knife,Other Crime,7,No,Null,Morning,Adult
6675,2020-10-07,2020-10-05,23:24:00,Kolkata,420,SEXUAL ASSAULT,78,M,Unknown,Violent Crime,6,No,Null,Night,Senior-Citizen
6676,2020-10-05,2020-10-05,15:07:00,Hyderabad,579,TRAFFIC VIOLATION,67,M,Blunt Object,Traffic Fatality,17,No,Null,Afternoon,Senior-Citizen
6677,2020-10-06,2020-10-05,19:23:00,Jaipur,538,SEXUAL ASSAULT,29,F,Unknown,Violent Crime,13,No,Null,Evening,Adult
6678,2020-10-08,2020-10-05,21:20:00,Kanpur,333,EXTORTION,58,M,Firearm,Other Crime,5,No,Null,Night,Adult
